Format,QueryLength,NumQueries,Type,TimeMS
AoS,100,5,Single,119.541
AoS,100,5,Multi,546.176
SoA,100,5,Single,117.264
SoA,100,5,Multi,1075.14
AoS,100,50,Single,244.811
AoS,100,50,Multi,11035
SoA,100,50,Single,232.573
SoA,100,50,Multi,10943.8
AoS,100,100,Single,248.67
AoS,100,100,Multi,22161.7
SoA,100,100,Single,227.272
SoA,100,100,Multi,22002
AoS,500,5,Single,1017.34
AoS,500,5,Multi,4818.2
SoA,500,5,Single,1021.2
SoA,500,5,Multi,4809.18
AoS,500,50,Single,1009.8
AoS,500,50,Multi,47838.3
SoA,500,50,Single,986.184
SoA,500,50,Multi,47810.7
AoS,500,100,Single,1120.49
AoS,500,100,Multi,97038.3
SoA,500,100,Single,1208.93
SoA,500,100,Multi,95258.3
AoS,1000,5,Single,1846.28
AoS,1000,5,Multi,8632.71
SoA,1000,5,Single,1781.9
SoA,1000,5,Multi,8907.3
AoS,1000,50,Single,1869.09
AoS,1000,50,Multi,83658.6
SoA,1000,50,Single,1731.84
SoA,1000,50,Multi,83825.3
AoS,1000,100,Single,1997.3
AoS,1000,100,Multi,167437
SoA,1000,100,Single,1764.27
SoA,1000,100,Multi,166651
AoS,3000,5,Single,3111.47
AoS,3000,5,Multi,12996
SoA,3000,5,Single,2709.6
SoA,3000,5,Multi,13049.4
AoS,3000,50,Single,2690.66
AoS,3000,50,Multi,129113
SoA,3000,50,Single,2667.92
SoA,3000,50,Multi,130450
AoS,3000,100,Single,3231.23
AoS,3000,100,Multi,258786
SoA,3000,100,Single,2729.29
SoA,3000,100,Multi,259103
